id,domain,backend,mode,factual_accuracy,hallucination_rate,citation_coverage,n_facts_total,n_facts_hit,n_sentences_total,judge_backend,judge_self_bias_risk,judge_overall,judge_accuracy,judge_completeness,judge_logic,judge_citation,judge_readability,elapsed_s,error
rb-001,ai-ml-fundamentals,mimo,baseline,1.0000,0.2500,0.0000,7,7,32,mimo-fallback,1,4.590,4.900,4.950,4.950,3.250,4.900,31.41,
rb-002,ai-ml-fundamentals,mimo,baseline,1.0000,0.1471,0.0000,7,7,34,mimo-fallback,1,4.680,4.750,4.900,5.000,3.750,5.000,33.05,
rb-003,ai-ml-fundamentals,mimo,baseline,1.0000,0.0233,0.0000,6,6,43,mimo-fallback,1,3.840,4.400,4.350,4.750,1.000,4.700,33.38,
rb-004,llm-rlhf,mimo,baseline,1.0000,0.0000,0.0000,7,7,25,mimo-fallback,1,4.840,4.950,5.000,5.000,4.250,5.000,27.77,
rb-005,llm-rlhf,mimo,baseline,1.0000,0.0357,0.0000,7,7,28,mimo-fallback,1,4.200,4.500,4.250,4.500,3.250,4.500,33.19,
rb-006,llm-rlhf,mimo,baseline,1.0000,0.0000,0.0000,6,6,25,mimo-fallback,1,4.240,4.400,4.250,4.700,3.250,4.600,28.62,
rb-007,llm-rlhf,mimo,baseline,1.0000,0.0400,0.0000,6,6,25,mimo-fallback,1,4.530,4.650,4.750,5.000,3.500,4.750,30.77,
rb-008,rl-algorithms,mimo,baseline,0.8333,0.0000,0.0000,6,5,28,mimo-fallback,1,4.150,4.650,4.000,4.500,3.000,4.600,35.30,
rb-009,rl-algorithms,mimo,baseline,1.0000,0.3704,0.0000,7,7,27,mimo-fallback,1,4.200,5.000,5.000,5.000,1.000,5.000,30.94,
rb-010,rl-algorithms,mimo,baseline,0.8571,0.0000,0.0000,7,6,23,mimo-fallback,1,4.250,4.150,4.350,4.400,3.650,4.700,27.98,
rb-011,systems-distributed,mimo,baseline,0.8750,0.0000,0.0000,8,7,34,mimo-fallback,1,4.460,4.650,4.600,4.800,3.500,4.750,33.92,
rb-012,systems-distributed,mimo,baseline,1.0000,0.1290,0.0000,7,7,31,mimo-fallback,1,4.250,4.750,4.750,4.750,2.250,4.750,43.11,
rb-013,systems-distributed,mimo,baseline,1.0000,0.0303,0.0000,7,7,33,mimo-fallback,1,3.950,4.350,4.250,4.650,2.250,4.250,36.91,
rb-014,software-engineering,mimo,baseline,1.0000,0.0750,0.0000,7,7,40,mimo-fallback,1,4.400,5.000,5.000,5.000,2.000,5.000,37.14,
rb-015,software-engineering,mimo,baseline,1.0000,0.0789,0.0000,7,7,38,mimo-fallback,1,4.200,5.000,5.000,5.000,1.000,5.000,31.53,
rb-016,software-engineering,mimo,baseline,1.0000,0.0333,0.0000,7,7,30,mimo-fallback,1,3.800,4.250,3.750,4.250,2.500,4.250,41.39,
rb-017,databases,mimo,baseline,1.0000,0.0333,0.0000,6,6,30,mimo-fallback,1,4.220,4.800,4.900,4.950,1.500,4.950,32.48,
rb-018,databases,mimo,baseline,1.0000,0.2381,0.0000,7,7,21,mimo-fallback,1,3.550,4.100,3.750,4.250,1.000,4.650,38.23,
rb-019,databases,mimo,baseline,1.0000,0.0750,0.0000,7,7,40,mimo-fallback,1,4.470,4.800,4.700,4.900,3.250,4.700,37.45,
rb-020,networking-security,mimo,baseline,1.0000,0.3077,0.0000,8,8,26,mimo-fallback,1,4.750,4.900,4.750,4.950,4.250,4.900,40.80,
rb-021,networking-security,mimo,baseline,0.8750,0.1667,0.0000,8,7,42,mimo-fallback,1,4.550,4.650,4.600,4.950,4.000,4.550,37.67,
