id,domain,backend,mode,factual_accuracy,hallucination_rate,citation_coverage,n_facts_total,n_facts_hit,n_sentences_total,judge_backend,judge_self_bias_risk,judge_overall,judge_accuracy,judge_completeness,judge_logic,judge_citation,judge_readability,elapsed_s,error
rb-001,ai-ml-fundamentals,mimo,pipeline,1.0000,0.1782,0.4134,7,7,404,mimo-fallback,1,4.440,4.650,4.350,4.650,4.000,4.550,126.38,
rb-002,ai-ml-fundamentals,mimo,pipeline,1.0000,0.1724,0.3678,7,7,261,mimo-fallback,1,4.310,4.250,4.650,4.550,3.750,4.350,78.34,
rb-003,ai-ml-fundamentals,mimo,pipeline,1.0000,0.1555,0.4580,6,6,238,mimo-fallback,1,4.450,4.750,4.500,4.750,4.000,4.250,76.59,
rb-004,llm-rlhf,mimo,pipeline,1.0000,0.0466,0.4195,7,7,236,mimo-fallback,1,4.760,4.850,4.900,5.000,4.350,4.700,86.52,
rb-005,llm-rlhf,mimo,pipeline,1.0000,0.0646,0.4073,7,7,356,mimo-fallback,1,4.550,4.500,4.800,4.650,4.300,4.500,98.67,
rb-006,llm-rlhf,mimo,pipeline,1.0000,0.0417,0.3780,6,6,336,mimo-fallback,1,4.100,4.100,4.250,4.150,4.000,4.000,90.38,
rb-007,llm-rlhf,mimo,pipeline,1.0000,0.1705,0.4109,6,6,258,mimo-fallback,1,4.410,4.500,4.400,4.350,4.550,4.250,93.62,
rb-008,rl-algorithms,mimo,pipeline,1.0000,0.0031,0.3459,6,6,318,mimo-fallback,1,4.410,4.250,4.650,4.600,4.300,4.250,96.59,
rb-009,rl-algorithms,mimo,pipeline,1.0000,0.2080,0.3191,7,7,351,mimo-fallback,1,4.320,4.650,4.250,4.600,3.850,4.250,106.05,
rb-010,rl-algorithms,mimo,pipeline,1.0000,0.0342,0.3870,7,7,292,mimo-fallback,1,1.480,1.250,1.500,1.400,1.000,2.250,97.38,
rb-011,systems-distributed,mimo,pipeline,1.0000,0.0270,0.3986,8,8,296,mimo-fallback,1,4.680,4.650,4.950,4.750,4.500,4.550,103.61,
rb-012,systems-distributed,mimo,pipeline,1.0000,0.0842,0.4421,7,7,285,mimo-fallback,1,4.460,4.500,4.800,4.500,4.200,4.300,97.05,
rb-013,systems-distributed,mimo,pipeline,1.0000,0.1595,0.4708,7,7,257,mimo-fallback,1,4.200,3.850,4.250,4.400,4.000,4.500,89.91,
rb-014,software-engineering,mimo,pipeline,1.0000,0.1920,0.3375,7,7,323,mimo-fallback,1,4.460,4.350,4.650,4.500,4.250,4.550,100.89,
rb-015,software-engineering,mimo,pipeline,1.0000,0.1016,0.3846,7,7,364,mimo-fallback,1,4.730,4.500,4.900,4.850,4.750,4.650,106.12,
rb-016,software-engineering,mimo,pipeline,1.0000,0.2609,0.4664,7,7,253,mimo-fallback,1,4.620,4.500,4.800,4.600,4.600,4.600,91.56,
rb-017,databases,mimo,pipeline,1.0000,0.0458,0.2992,6,6,371,mimo-fallback,1,4.300,4.100,4.500,4.400,4.450,4.050,107.53,
rb-018,databases,mimo,pipeline,1.0000,0.2516,0.3968,7,7,310,mimo-fallback,1,3.560,3.600,3.500,3.500,3.650,3.550,121.00,
rb-019,databases,mimo,pipeline,1.0000,0.2059,0.4559,7,7,272,mimo-fallback,1,4.600,4.650,4.750,4.750,4.550,4.300,120.58,
rb-020,networking-security,mimo,pipeline,1.0000,0.2068,0.3571,8,8,266,mimo-fallback,1,4.280,4.500,4.150,4.500,4.050,4.200,114.86,
rb-021,networking-security,mimo,pipeline,1.0000,0.2459,0.3470,8,8,366,mimo-fallback,1,4.770,4.900,4.850,4.800,4.600,4.700,101.88,
rb-022,networking-security,mimo,pipeline,1.0000,0.2295,0.4459,7,7,305,mimo-fallback,1,4.490,4.500,4.700,4.500,4.500,4.250,105.61,
rb-023,data-science-stats,mimo,pipeline,1.0000,0.2313,0.3299,7,7,294,mimo-fallback,1,4.150,4.500,4.000,4.350,4.000,3.900,97.73,
rb-024,data-science-stats,mimo,pipeline,1.0000,0.3008,0.2683,8,8,246,mimo-fallback,1,4.580,4.500,4.750,4.650,4.500,4.500,108.64,
rb-025,data-science-stats,mimo,pipeline,1.0000,0.1957,0.5000,7,7,184,mimo-fallback,1,4.290,4.500,4.100,4.450,4.250,4.150,89.05,
rb-026,biomedical,mimo,pipeline,1.0000,0.2957,0.2924,8,8,301,mimo-fallback,1,4.490,4.500,4.650,4.600,4.100,4.600,105.47,
rb-027,biomedical,mimo,pipeline,1.0000,0.0570,0.3960,7,7,298,mimo-fallback,1,4.350,4.500,4.250,4.500,4.000,4.500,111.95,
rb-028,biomedical,mimo,pipeline,1.0000,0.1496,0.5346,7,7,361,mimo-fallback,1,4.660,4.600,4.900,4.700,4.450,4.650,89.52,
rb-029,economics-finance,mimo,pipeline,1.0000,0.2776,0.3460,7,7,263,mimo-fallback,1,4.490,4.250,4.650,4.600,4.550,4.400,100.20,
rb-030,economics-finance,mimo,pipeline,1.0000,0.4077,0.3452,8,8,336,mimo-fallback,1,3.800,3.750,3.750,4.000,3.500,4.000,120.20,
rb-031,economics-finance,mimo,pipeline,1.0000,0.1174,0.4575,7,7,247,mimo-fallback,1,4.610,4.650,4.850,4.700,4.600,4.250,110.78,
rb-032,history-geography,mimo,pipeline,1.0000,0.2621,0.4310,7,7,290,mimo-fallback,1,3.940,4.250,3.850,3.900,3.500,4.200,103.64,
rb-033,history-geography,mimo,pipeline,1.0000,0.1852,0.3386,7,7,378,mimo-fallback,1,4.340,4.350,4.400,4.500,4.250,4.200,108.58,
rb-034,history-geography,mimo,pipeline,1.0000,0.0217,0.4910,7,7,277,mimo-fallback,1,3.950,4.250,3.750,4.250,3.500,4.000,127.69,
rb-035,history-geography,mimo,pipeline,1.0000,0.1429,0.3150,7,7,273,mimo-fallback,1,4.430,4.350,4.800,4.600,4.150,4.250,103.69,
