id,domain,backend,mode,factual_accuracy,hallucination_rate,citation_coverage,n_facts_total,n_facts_hit,n_sentences_total,judge_backend,judge_self_bias_risk,judge_overall,judge_accuracy,judge_completeness,judge_logic,judge_citation,judge_readability,elapsed_s,error
rb-002,ai-ml-fundamentals,mimo,pipeline-rerun,1.0000,0.1852,0.4444,7,7,216,mimo-fallback,1,4.190,3.850,4.500,4.300,4.150,4.150,132.14,
rb-001,ai-ml-fundamentals,mimo,pipeline-rerun,1.0000,0.1655,0.5642,7,7,296,mimo-fallback,1,4.350,4.000,4.750,4.650,4.200,4.150,147.08,
rb-003,ai-ml-fundamentals,mimo,pipeline-rerun,1.0000,0.1034,0.5517,6,6,203,mimo-fallback,1,4.460,4.650,4.500,4.750,4.000,4.400,153.52,
rb-005,llm-rlhf,mimo,pipeline-rerun,1.0000,0.0678,0.4915,7,7,295,mimo-fallback,1,4.490,4.350,4.650,4.500,4.450,4.500,126.55,
rb-004,llm-rlhf,mimo,pipeline-rerun,1.0000,0.0495,0.4950,7,7,202,mimo-fallback,1,4.650,4.650,4.850,4.750,4.400,4.600,148.80,
rb-006,llm-rlhf,mimo,pipeline-rerun,1.0000,0.0394,0.5000,6,6,254,mimo-fallback,1,4.690,4.500,4.800,4.650,4.800,4.700,152.08,
rb-008,rl-algorithms,mimo,pipeline-rerun,1.0000,0.0041,0.4545,6,6,242,mimo-fallback,1,3.850,4.350,3.750,4.000,3.250,3.900,96.92,
rb-007,llm-rlhf,mimo,pipeline-rerun,1.0000,0.1489,0.4468,6,6,235,mimo-fallback,1,4.330,4.500,4.650,4.350,4.300,3.850,129.70,
rb-009,rl-algorithms,mimo,pipeline-rerun,1.0000,0.2214,0.4059,7,7,271,mimo-fallback,1,4.590,4.500,4.800,4.600,4.700,4.350,147.80,
rb-010,rl-algorithms,mimo,pipeline-rerun,1.0000,0.0171,0.4444,7,7,234,mimo-fallback,1,2.300,2.250,2.000,2.250,2.000,3.000,127.97,
rb-011,systems-distributed,mimo,pipeline-rerun,1.0000,0.0165,0.4917,8,8,242,mimo-fallback,1,4.500,4.650,4.450,4.600,4.250,4.550,127.52,
rb-012,systems-distributed,mimo,pipeline-rerun,1.0000,0.0795,0.5356,7,7,239,mimo-fallback,1,4.610,4.250,5.000,4.650,4.850,4.300,123.53,
rb-013,systems-distributed,mimo,pipeline-rerun,1.0000,0.1398,0.5127,7,7,236,mimo-fallback,1,4.400,4.500,4.500,4.650,3.850,4.500,136.94,
rb-014,software-engineering,mimo,pipeline-rerun,1.0000,0.1581,0.4269,7,7,253,mimo-fallback,1,4.580,4.650,4.650,4.700,4.550,4.350,165.88,
rb-015,software-engineering,mimo,pipeline-rerun,1.0000,0.1089,0.4620,7,7,303,mimo-fallback,1,4.420,4.500,4.650,4.600,4.050,4.300,122.16,
rb-016,software-engineering,mimo,pipeline-rerun,1.0000,0.2232,0.5312,7,7,224,mimo-fallback,1,4.450,4.500,5.000,4.650,4.100,4.000,118.83,
rb-017,databases,mimo,pipeline-rerun,1.0000,0.0545,0.4036,6,6,275,mimo-fallback,1,4.540,4.350,4.750,4.550,4.450,4.600,104.62,
rb-018,databases,mimo,pipeline-rerun,1.0000,0.2688,0.4901,7,7,253,mimo-fallback,1,4.050,4.250,3.850,4.150,3.750,4.250,146.81,
rb-019,databases,mimo,pipeline-rerun,1.0000,0.1911,0.5081,7,7,246,mimo-fallback,1,4.350,4.350,4.750,4.400,4.000,4.250,147.81,
rb-020,networking-security,mimo,pipeline-rerun,1.0000,0.1933,0.4076,8,8,238,mimo-fallback,1,3.650,3.750,3.250,4.000,3.500,3.750,111.27,
rb-021,networking-security,mimo,pipeline-rerun,1.0000,0.2596,0.4456,8,8,285,mimo-fallback,1,4.150,4.000,4.500,4.000,4.000,4.250,133.89,
rb-023,data-science-stats,mimo,pipeline-rerun,1.0000,0.2785,0.4475,7,7,219,mimo-fallback,1,4.410,4.500,4.800,4.550,4.100,4.100,123.31,
rb-022,networking-security,mimo,pipeline-rerun,1.0000,0.1940,0.5187,7,7,268,mimo-fallback,1,4.590,4.500,4.750,4.850,4.650,4.200,132.69,
rb-024,data-science-stats,mimo,pipeline-rerun,1.0000,0.3263,0.3421,8,8,190,mimo-fallback,1,4.650,4.900,4.750,4.850,4.200,4.550,120.38,
rb-025,data-science-stats,mimo,pipeline-rerun,1.0000,0.1744,0.5465,7,7,172,mimo-fallback,1,4.600,4.650,4.700,4.600,4.500,4.550,146.66,
rb-026,biomedical,mimo,pipeline-rerun,1.0000,0.2905,0.4333,8,8,210,mimo-fallback,1,4.430,4.500,4.500,4.500,4.350,4.300,151.80,
